사이드메뉴,MENU,0
사이드 메뉴,MENU,0
메뉴판,MENU,0
메뉴,MENU,0
빵종류,MENU,0
식사종류,MENU,0
에이드종류,MENU,0
음료종류,MENU,0
커피종류,MENU,0
갈릭 치즈 브레드,FOOD,1
고구마 라떼,FOOD,1
고구마 말랭이,FOOD,1
골드키위주스,FOOD,1
그린루이보스,FOOD,1
그릴드 치킨 샐러드 & 시저 드레싱,FOOD,1
까르보나라 구운주먹밥,FOOD,1
꿀복숭아 플랫치노,FOOD,1
꿀오란다,FOOD,1
꿀호떡,FOOD,1
녹차 라떼,FOOD,1
녹차 플랫치노,FOOD,1
달고나 라떼,FOOD,1
달고나 믹스치노,FOOD,1
달고나 아이스크림 와플,FOOD,1
더블 치즈 케이크,FOOD,1
더블 토피넛 라떼,FOOD,1
더블 토피넛 위드샷,FOOD,1
데블스 초코 케이크,FOOD,1
두부텐더 콥샐러드,FOOD,1
디카페인 버블 흑당 콜드브루,FOOD,1
디카페인 연유 콜드브루,FOOD,1
디카페인 콜드브루 니트로,FOOD,1
디카페인 콜드브루 라떼,FOOD,1
디카페인 콜드브루 아메리카노,FOOD,1
디카페인 콜드브루 크림넛,FOOD,1
디카페인 콜드브루 화이트비엔나,FOOD,1
디카페인 흑당 콜드브루,FOOD,1
딸기 쉐이크,FOOD,1
딸기 요거트 플랫치노,FOOD,1
딸기주스,FOOD,1
딸기치즈 눈꽃빙수,FOOD,1
딸기피치 요거놀라 1인빙수,FOOD,1
떠먹는 티라미수,FOOD,1
레몬 마스카포네,FOOD,1
레몬 스윗플럼,FOOD,1
레몬 에이드,FOOD,1
레몬차,FOOD,1
마스카포네 티라미수,FOOD,1
망고 눈꽃빙수,FOOD,1
망고 플랫치노,FOOD,1
망고요거트 1인빙수,FOOD,1
망고패션 요거놀라 1인빙수,FOOD,1
매콤 로제 구운주먹밥,FOOD,1
메이플 넛 브레드,FOOD,1
메이플 와플,FOOD,1
모카 플랫치노,FOOD,1
모카칩 믹스치노,FOOD,1
미니 코코 크런치,FOOD,1
미니프레첼 볶음양념맛,FOOD,1
미니프레첼 와사비맛,FOOD,1
믹스라떼,FOOD,1
민트 모카,FOOD,1
민트 초콜릿 칩 플랫치노,FOOD,1
민트 초콜릿,FOOD,1
밀크레이프 케이크,FOOD,1
밀크티,FOOD,1
바닐라 라떼,FOOD,1
바닐라 마카롱,FOOD,1
바닐라 웨이퍼스,FOOD,1
버블 크림 밀크티,FOOD,1
버블 흑당 라떼,FOOD,1
버블 흑당 콜드브루,FOOD,1
버블믹스라떼,FOOD,1
베이컨 포테이토 스퀘어 피자,FOOD,1
복분자 뱅쇼,FOOD,1
복분자 뱅쇼 콤부차,FOOD,1
불닭고구마 스퀘어 피자,FOOD,1
블루베리 머핀,FOOD,1
블루베리 베이글,FOOD,1
블루베리 요거트 플랫치노,FOOD,1
블루베리 치즈 스틱케익,FOOD,1
블루베리 크림치즈,FOOD,1
비타민바(그릭요거트),FOOD,1
산딸기 마카롱,FOOD,1
생강차,FOOD,1
생과일 수박주스,FOOD,1
생과일 토마토주스,FOOD,1
생딸기 연유 브레드,FOOD,1
생딸기 와플,FOOD,1
생딸기 크로플,FOOD,1
생크림 와플,FOOD,1
샤인히비스커스,FOOD,1
석류 애플라임,FOOD,1
석류 오리지널,FOOD,1
석류애플라임,FOOD,1
소고기 브리또,FOOD,1
수플레 치즈 케이크,FOOD,1
스노우 쿠키슈,FOOD,1
